Designator,Mid X,Mid Y,Rotation,Layer
C1,96.3422,-62.5348,180,top
D0,117.3044,-57.11794,180,top
D1,115.295604,-48.83184,205,top
D2,110.243908,-42.891047,230,top
D3,103.285412,-39.351002,255,top
D4,93.439298,-39.374162,285,top
D5,86.41148,-42.860786,310,top
D6,81.614275,-48.741218,335,top
D7,79.4959,-57.3085,0,top
D9,81.0768,-75.6667,270,top
J1,86.5886,-79.3496,270,top
J2,103.1179,-79.4065,270,top
R1,80.0039,-65.1825,90,top
R10,92.2274,-64.6176,90,top
R11,79.4959,-55.5305,180,top
R12,82.2899,-47.1485,155,top
R13,87.9002,-41.684487,130,top
R14,95.167118,-38.864829,105,top
R15,101.557592,-38.82994,75,top
R16,108.9599,-41.8145,50,top
R17,114.533604,-47.30784,25,top
R18,117.3419,-55.33994,0,top
R19,81.0768,-79.2602,90,top
R2,84.3219,-65.6905,180,top
R3,89.4019,-65.6905,180,top
R4,94.5449,-65.6905,180,top
R5,99.5619,-65.6905,180,top
R6,104.6419,-65.6905,180,top
R7,109.7219,-65.6905,180,top
R8,114.8019,-65.6905,180,top
R9,99.5934,-63.9826,0,top
SW0,116.5799,-69.7545,90,top
SW1,111.4999,-69.7545,90,top
SW2,106.4199,-69.7545,90,top
SW3,101.3399,-69.7545,90,top
SW4,96.2599,-69.7545,90,top
SW5,91.1799,-69.7545,90,top
SW6,86.0999,-69.7545,90,top
SW7,81.0199,-69.7545,90,top
U1,92.440406,-54.831005,180,top
U2,112.506406,-54.7725,180,top
U3,98.5459,-57.5625,90,top
