Designator,Mid X,Mid Y,Rotation,Layer
C1,95.1,-96.7,180,top
C2,92,-96.7,0,top
C3,95.075,-103.1,180,top
C4,92.05,-103.1,0,top
C5,95,-110,180,top
C6,91.9,-110,0,top
C7,95,-116.2,180,top
C8,91.9,-116.2,0,top
D1,74.3,-84.9875,270,top
D2,77.7,-84.9875,270,top
D3,113.2,-91.9,270,top
D4,110.5,-91.9,270,top
D5,107.6,-91.9,270,top
D6,104.6,-91.9,270,top
IC1,89,-100.9,180,top
IC2,89,-113,180,top
IC3,89,-107.5,180,top
IC8,89,-94.2,180,top
J1,119.888,-106.172,0,top
J12,69.658,-128.165,180,top
J13,69.658,-84.985,180,top
J14,69.658,-101.51,180,top
J15,69.658,-118.02,180,top
J2,163.068,-106.172,0,top
J3,77.97,-116.57,0,top
J4,121.21,-91.9,90,top
J6,81.5,-101.5,180,top
J7,78.96,-101.5,180,top
J8,76.42,-101.5,180,top
R1,85.821945,-118.600587,90,top
R10,101.064628,-133.357975,90,top
R11,98.524628,-133.357975,90,top
R12,95.984628,-133.357975,90,top
R13,93.444628,-133.357975,270,top
R14,90.904628,-133.357975,270,top
R15,88.364628,-133.357975,270,top
R16,85.824628,-133.357975,270,top
R17,99,-78,0,top
R18,95.184361,-77.997303,180,top
R19,92,-78,180,top
R2,88.321945,-118.5,90,top
R20,102,-78,0,top
R21,100.7,-91.925,90,top
R22,98.133333,-91.925,90,top
R23,95.566667,-91.925,90,top
R24,93,-91.925,90,top
R25,74.26,-81.875,90,top
R26,77.58,-81.875,90,top
R27,113.3,-88.6,90,top
R28,110.5,-88.8,90,top
R29,107.625,-88.8,90,top
R3,90.821945,-118.5,90,top
R30,104.6,-88.8,90,top
R4,93.4,-118.5,90,top
R5,95.921945,-118.5,270,top
R6,98.421945,-118,270,top
R7,100.921945,-118,270,top
R8,103.521945,-118,270,top
R9,104.3,-132.8,180,top
SW1,94.7,-126.1,270,top
SW2,96.859199,-84.650018,270,top
